dataset,mode,algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize
dbpedia-openai-200k-angular,batch,pgvector,"PGVector(lists=200, probes=2)",10,0.81583,0.83646,0.98024,0.08551703117898632,219.05586016767523,4.565045703202486,4.565045703202486,4.565045703202486,4.565045703202486,0.0,182.5406436920166,10.0,5756.0,26.276402720265498
dbpedia-openai-200k-angular,batch,qdrant,"Qdrant(quantization=False, m=16, ef_construct=128, grpc=True, hnsw_ef=None, rescore=True)",10,0.9801,0.9842299999999999,0.9927300000000001,0.08370319635053991,789.7266606555569,1.2794029898941517,1.2794029898941517,1.2794029898941517,1.2794029898941517,0.0,419.91490292549133,10.0,-301156.0,-381.342070622269
dbpedia-openai-300k-angular,batch,pgvector,"PGVector(lists=200, probes=2)",10,0.82057,0.84107,0.98478,0.08618025689783206,147.5493645693691,6.9827851839363575,6.9827851839363575,6.9827851839363575,6.9827851839363575,0.0,274.44132018089294,10.0,4996.0,33.85985439233236
dbpedia-openai-300k-angular,batch,qdrant,"Qdrant(quantization=False, m=16, ef_construct=128, grpc=True, hnsw_ef=None, rescore=True)",10,0.9923400000000001,0.9949600000000001,0.9997999999999999,0.08421354618154397,738.8125873478836,1.3535232283174992,1.3535232283174992,1.3535232283174992,1.3535232283174992,0.0,721.3560435771942,10.0,-213208.0,-288.58198093964944
dbpedia-openai-400k-angular,batch,pgvector,"PGVector(lists=200, probes=2)",10,0.8143,0.83528,0.98414,0.08636818839968324,101.30908517114777,9.892995469272137,9.892995469272137,9.892995469272137,9.892995469272137,0.0,355.2291531562805,10.0,-7784.0,-76.8341752060045
dbpedia-openai-400k-angular,batch,qdrant,"Qdrant(quantization=False, m=16, ef_construct=128, grpc=True, hnsw_ef=None, rescore=True)",10,0.98938,0.99308,0.999,0.08440506311973284,712.3850907960511,1.4037351356819272,1.4037351356819272,1.4037351356819272,1.4037351356819272,0.0,1074.1003351211548,10.0,-777456.0,-1091.3423231966235
dbpedia-openai-500k-angular,batch,pgvector,"PGVector(lists=200, probes=2)",10,0.81197,0.83201,0.98281,0.08616035858824653,84.35650484689835,11.867687106132507,11.867687106132507,11.867687106132507,11.867687106132507,0.0,445.14336800575256,10.0,-29428.0,-348.8527654554908
dbpedia-openai-500k-angular,batch,qdrant,"Qdrant(quantization=False, m=16, ef_construct=128, grpc=True, hnsw_ef=None, rescore=True)",10,0.99006,0.99383,0.9997299999999999,0.08414790846703028,703.0631417583195,1.439020736142993,1.439020736142993,1.439020736142993,1.439020736142993,0.0,1097.2285249233246,10.0,-706976.0,-1005.5654435701105
dbpedia-openai-600k-angular,batch,pgvector,"PGVector(lists=200, probes=2)",10,0.8036199999999999,0.82395,0.982,0.08672509323255057,68.06529917921478,15.268322080373764,15.268322080373764,15.268322080373764,15.268322080373764,0.0,543.9995172023773,10.0,-17188.0,-252.52221333434954
dbpedia-openai-600k-angular,batch,qdrant,"Qdrant(quantization=False, m=16, ef_construct=128, grpc=True, hnsw_ef=None, rescore=True)",10,0.98769,0.9914799999999999,0.99975,0.0846126305235669,673.0719515041583,1.4857252826914191,1.4857252826914191,1.4857252826914191,1.4857252826914191,0.0,1379.0523414611816,10.0,-495944.0,-736.8365282369607
dbpedia-openai-700k-angular,batch,pgvector,"PGVector(lists=200, probes=2)",10,0.8309599999999999,0.84842,0.9856400000000001,0.08566998306832063,60.61008548403488,16.498904675245285,16.498904675245285,16.498904675245285,16.498904675245285,0.0,630.2536926269531,10.0,14784.0,243.91980116731906
